Date,Open,High,Low,Close,Volume,Change
2017/03/30,551.6,557.23,542.27,547.71,2609.0,
2017/04/02,557.81,598.22,557.81,598.22,3052.0,
2017/04/03,609.29,653.77,598.22,617.64,19959.0,
2017/04/04,621.53,625.41,602.3,607.93,5933.0,
2017/04/06,607.93,619.2,598.41,604.04,3895.0,
2017/04/09,611.81,615.12,600.16,600.16,4313.0,
2017/04/10,605.99,615.7,605.99,605.99,3266.0,
2017/04/11,605.99,619.58,605.99,612.79,3260.0,
2017/04/12,624.05,628.33,610.07,612.98,6947.0,
2017/04/13,612.79,624.05,600.16,614.53,3352.0,
2017/04/16,625.8,625.8,602.1,602.1,2890.0,
2017/04/18,596.27,596.27,581.71,585.59,6802.0,
2017/04/19,585.59,596.27,582.48,596.08,6026.0,
2017/04/20,596.27,601.13,587.73,587.73,6433.0,
2017/04/23,598.61,621.53,598.61,604.04,4614.0,
2017/04/24,600.16,600.16,589.09,593.17,1457.0,
2017/04/25,596.27,596.27,588.7,590.45,1341.0,
2017/04/26,589.48,592.58,586.56,586.76,1716.0,
2017/04/27,576.85,619.78,574.32,594.14,9019.0,
2017/04/30,585.59,589.48,584.62,586.37,1620.0,
2017/05/02,597.05,597.05,585.98,588.5,1471.0,
2017/05/03,589.48,589.48,584.81,586.95,2398.0,
2017/05/04,590.45,590.45,581.71,585.59,1716.0,
2017/05/07,576.85,586.56,574.32,578.99,720.0,
2017/05/08,580.93,584.62,579.57,584.62,340.0,
2017/05/09,584.62,589.48,584.62,588.5,2497.0,
2017/05/11,594.33,600.16,591.42,600.16,3516.0,
2017/05/15,600.35,605.02,597.44,598.22,12811.0,
2017/05/16,594.33,597.25,591.81,592.39,6681.0,
2017/05/17,593.56,595.3,592.39,595.3,2898.0,
2017/05/18,595.3,599.38,593.56,596.27,17282.0,
2017/05/21,596.36,615.99,588.12,588.12,5963.0,
2017/05/22,595.39,595.39,585.69,585.69,1223.0,
2017/05/23,576.0,588.12,572.36,572.36,1217.0,
2017/05/24,572.36,578.18,567.51,568.72,680.0,
2017/05/28,566.3,566.3,560.24,563.87,834.0,
2017/05/30,554.42,556.84,554.18,556.6,1073.0,
2017/05/31,556.6,563.87,554.18,563.87,1200.0,
2017/06/01,561.45,566.3,556.6,561.45,295.0,
2017/06/04,559.03,563.87,554.18,556.84,670.0,
2017/06/05,562.66,562.66,559.03,559.27,807.0,
2017/06/06,559.75,565.81,559.75,565.81,809.0,
2017/06/07,571.39,571.39,565.33,566.3,1430.0,
2017/06/08,575.75,575.75,554.66,556.6,2240.0,
2017/06/11,546.42,552.97,546.42,546.42,2880.0,
2017/06/12,542.06,551.75,542.06,544.48,737.0,
2017/06/13,539.63,549.33,539.63,539.63,1910.0,
